plat_nomor,nomor_rangka,warna,model,tipe,tahun_dibuat,tanggal_masa_pajak,pkb,pkb_progresif,opsen_pkb,opsen_pkb_progresif,swdkllj,parkir_berlangganan,pengesahan_stnk,cetak_stnk,cetak_tnkb
L 5911 NV,22818,Hitam,Yamaha Vixion R,B4W2JPKVC,2015,8 Desember 2025,124000,0,81840,0,35000,0,0,100000,60000
P 5098 ZS,76218,Orange,Honda PCX 160,KF30ZVYEC5,2019,15 Maret 2024,124000,0,81840,0,83000,0,0,100000,60000
N 7410 YME,99029,Hitam,Honda CB150R,CB150R2MG2FE,2018,27 November 2025,225000,0,148500,0,83000,0,0,100000,60000
AG 5527 DV,61957,Abu-Abu,Yamaha R15,B74G4WANI,2023,28 Februari 2024,200000,0,132000,0,83000,0,0,100000,60000
AG 5156 OUS,18739,Kuning,Honda Scoopy,JFB1FTGUN8,2019,18 Juli 2025,85000,0,56100,0,35000,0,0,100000,60000
AG 8434 MM,86135,Putih,Honda Vario 125,JFH16KE6ZA,2016,19 Agustus 2024,225000,0,148500,0,35000,0,0,100000,60000
AG 4421 LO,15744,Kuning,Suzuki Satria F150,SF1504AKL7X,2020,14 September 2025,124000,0,81840,0,35000,0,0,100000,60000
M 4872 FE,54873,Orange,Kawasaki KLX 150,KLX1506J5EAT,2023,17 Januari 2024,250000,0,165000,0,83000,0,0,100000,60000
M 4558 OZ,38810,Hitam,Yamaha Freego,B7K3ZKR3D,2017,15 Juli 2025,200000,0,132000,0,83000,0,0,100000,60000
AE 8365 HTK,45713,Orange,Yamaha NMAX 155,SED3KM7Y1U,2014,4 November 2025,175000,0,115500,0,83000,0,0,100000,60000
P 1186 JPP,99742,Kuning,Honda CB150R,CB150R72RW55,2017,5 Agustus 2025,150000,0,99000,0,83000,0,0,100000,60000
L 4360 DFM,17746,Merah,Honda Scoopy,JFB1BPIMEV,2012,10 Oktober 2025,85000,0,56100,0,83000,0,0,100000,60000
N 5709 EF,92725,Hijau,Yamaha Aerox 155,B3WJN2364,2019,24 Agustus 2024,124000,0,81840,0,35000,0,0,100000,60000
P 6632 EL,83131,Orange,Yamaha Vixion R,B4WIZB25J,2024,30 Maret 2026,225000,0,148500,0,83000,0,0,100000,60000
AE 9711 UIC,96750,Kuning,Honda Revo 110,HB5N86TAI,2016,20 Januari 2026,135000,0,89100,0,35000,0,0,100000,60000
AG 6456 MW,95643,Kuning,Honda Revo 110,HB5BZ8GIC,2010,8 Maret 2024,250000,0,165000,0,83000,0,0,100000,60000
P 7794 YU,65454,Hijau,Kawasaki KLX 150,KLX150H2C23U,2012,16 Juli 2025,95000,0,62700,0,83000,0,0,100000,60000
P 6074 CAF,15003,Merah,Honda Vario 125,JFH1GRMC7F,2021,23 November 2025,85000,0,56100,0,35000,0,0,100000,60000
M 6912 JHK,56660,Merah,Yamaha Mio M3,F3GOEQXAD,2016,31 Oktober 2025,250000,0,165000,0,83000,0,0,100000,60000
AE 5518 VF,70572,Orange,Yamaha NMAX 155,SED3HUN8FI,2013,14 Januari 2025,225000,0,148500,0,35000,0,0,100000,60000
P 1802 WI,91142,Hijau,Yamaha Vixion R,B4WSDWAN0,2017,18 Agustus 2025,200000,0,132000,0,35000,0,0,100000,60000
L 3115 BDD,55712,Kuning,Honda CB150R,CB150R8QAJXH,2019,16 November 2024,225000,0,148500,0,35000,0,0,100000,60000
W 6630 XVC,88606,Silver,Honda Beat,JFW16Q3QZD,2024,8 Juni 2024,135000,0,89100,0,83000,0,0,100000,60000
S 7750 KI,09203,Silver,Kawasaki KLX 150,KLX1500I7P2R,2014,16 Juni 2024,135000,0,89100,0,35000,0,0,100000,60000
AG 5985 NEZ,34347,Hitam,Yamaha R15,B74ISYBF6,2022,8 Maret 2026,124000,0,81840,0,83000,0,0,100000,60000
L 5863 HP,40002,Hijau,Honda Scoopy,JFB1PMIOKG,2021,8 Februari 2026,110000,0,72600,0,35000,0,0,100000,60000
AG 5287 XF,72509,Kuning,Honda Vario 125,JFH16YFI7E,2012,22 Maret 2026,110000,0,72600,0,83000,0,0,100000,60000
AE 2078 MWK,90002,Merah,Yamaha Aerox 155,B3WHLS0QL,2019,7 Juni 2025,124000,0,81840,0,83000,0,0,100000,60000
P 7806 UUC,38014,Merah,Honda Revo 110,HB50Q2OAZ,2019,2 Juli 2025,85000,0,56100,0,35000,0,0,100000,60000
L 8083 VKW,63448,Hijau,Yamaha Vixion R,B4WLXB7GI,2019,21 April 2025,250000,0,165000,0,35000,0,0,100000,60000
L 8092 YVG,56325,Abu-Abu,Honda Beat,JFW1J40Y52,2012,12 Mei 2025,200000,0,132000,0,35000,0,0,100000,60000
AG 8482 GU,58292,Putih,Yamaha Vixion R,B4WI6YB9P,2023,4 Juni 2024,110000,0,72600,0,83000,0,0,100000,60000
M 5153 QO,18123,Kuning,Yamaha Vixion R,B4W6OE3L3,2021,4 Maret 2024,150000,0,99000,0,83000,0,0,100000,60000
AG 9754 BPZ,66216,Putih,Yamaha R15,B748OCVF3,2012,27 Oktober 2024,124000,0,81840,0,35000,0,0,100000,60000
M 9468 PV,87893,Kuning,Yamaha Aerox 155,B3W0L879W,2011,9 November 2024,200000,0,132000,0,83000,0,0,100000,60000
AG 9129 XK,71569,Orange,Suzuki Satria F150,SF150I4P0E4,2020,11 Desember 2024,175000,0,115500,0,35000,0,0,100000,60000
AG 3153 WA,40013,Biru,Suzuki GSX-R150,GX150SMXVQC,2020,11 Juli 2024,175000,0,115500,0,35000,0,0,100000,60000
L 1621 BX,74002,Hijau,Honda CB150R,CB150RRSSDVB,2020,30 Maret 2024,175000,0,115500,0,35000,0,0,100000,60000
W 7678 STC,83459,Kuning,Honda Vario 125,JFH1XN91TF,2012,23 Mei 2025,85000,0,56100,0,35000,0,0,100000,60000
M 3557 EAQ,56921,Hitam,Yamaha NMAX 155,SED3QMKQI0,2018,18 Juli 2024,85000,0,56100,0,83000,0,0,100000,60000
M 9526 CGZ,62403,Orange,Yamaha Mio M3,F3GU7NSPN,2015,23 Januari 2026,200000,0,132000,0,35000,0,0,100000,60000
W 7962 JBR,78239,Hitam,Honda Scoopy,JFB1S6XH7A,2012,25 November 2024,225000,0,148500,0,83000,0,0,100000,60000
P 6427 GM,47023,Merah,Kawasaki KLX 150,KLX150D24DKR,2010,24 April 2026,95000,0,62700,0,35000,0,0,100000,60000
AE 1943 YY,23692,Kuning,Honda Vario 125,JFH1S0BU74,2016,10 September 2025,200000,0,132000,0,35000,0,0,100000,60000
M 3213 JKA,77226,Hitam,Honda Beat,JFW1BCIFL7,2017,11 November 2025,135000,0,89100,0,35000,0,0,100000,60000
M 7762 ZKK,54106,Merah,Suzuki GSX-R150,GX150FMQLOA,2013,11 Januari 2024,110000,0,72600,0,35000,0,0,100000,60000
AE 1638 JMW,91365,Hitam,Honda Vario 125,JFH13DSW1S,2015,13 Februari 2024,175000,0,115500,0,83000,0,0,100000,60000
P 1711 WF,15226,Abu-Abu,Honda Vario 125,JFH1VNGCFO,2023,20 Juni 2025,135000,0,89100,0,83000,0,0,100000,60000
AE 3544 DU,25253,Putih,Honda Scoopy,JFB1IQQKB7,2024,1 Juni 2025,85000,0,56100,0,35000,0,0,100000,60000
P 7236 XU,62500,Putih,Yamaha Mio M3,F3GQ2DS3E,2023,20 Juli 2025,250000,0,165000,0,35000,0,0,100000,60000
AG 7199 XS,45729,Orange,Yamaha Aerox 155,B3WJKHCD7,2020,19 Maret 2024,135000,0,89100,0,35000,0,0,100000,60000
AG 2407 EQ,45030,Putih,Yamaha Freego,B7KOUJB9N,2014,10 Oktober 2025,225000,0,148500,0,83000,0,0,100000,60000
S 2133 FG,87331,Hitam,Honda CB150R,CB150RQXRJB0,2013,10 Juli 2024,200000,0,132000,0,83000,0,0,100000,60000
AE 9605 AYG,12792,Hijau,Honda Revo 110,HB53OKANI,2022,11 Maret 2026,200000,0,132000,0,83000,0,0,100000,60000
S 2070 JY,30809,Silver,Suzuki GSX-R150,GX150XK2FIB,2010,4 Februari 2024,135000,0,89100,0,83000,0,0,100000,60000
AE 9536 MHO,76855,Kuning,Honda Scoopy,JFB1Q6I3AB,2022,27 Maret 2025,85000,0,56100,0,35000,0,0,100000,60000
M 8967 QI,95889,Hitam,Kawasaki Ninja 250,EX250TD5PU1,2010,13 September 2024,250000,0,165000,0,35000,0,0,100000,60000
N 2520 HCZ,38422,Putih,Yamaha R15,B74X097NF,2017,5 Februari 2026,85000,0,56100,0,35000,0,0,100000,60000
S 6901 XW,73651,Kuning,Suzuki GSX-R150,GX1509HNE0R,2013,19 Maret 2024,200000,0,132000,0,35000,0,0,100000,60000
AE 8005 HM,79175,Kuning,Yamaha Freego,B7K4NLX4F,2020,14 Maret 2026,175000,0,115500,0,83000,0,0,100000,60000
W 5272 ZY,22179,Biru,Suzuki GSX-R150,GX150PBANXR,2023,26 Oktober 2024,200000,0,132000,0,35000,0,0,100000,60000
W 2989 DAS,56932,Abu-Abu,Yamaha R15,B74O3TVA7,2015,14 April 2025,85000,0,56100,0,35000,0,0,100000,60000
S 5104 MV,05395,Merah,Honda CB150R,CB150RNE4XLW,2016,27 Januari 2024,85000,0,56100,0,35000,0,0,100000,60000
W 2820 CI,00512,Hitam,Yamaha Mio M3,F3G80WC84,2010,22 Oktober 2025,225000,0,148500,0,35000,0,0,100000,60000
S 9697 RJO,06998,Putih,Suzuki GSX-R150,GX150RH7CJJ,2017,26 Oktober 2025,200000,0,132000,0,35000,0,0,100000,60000
P 6944 SBD,97511,Putih,Suzuki Satria F150,SF150HC0OKR,2020,8 September 2025,124000,0,81840,0,35000,0,0,100000,60000
N 4106 GDQ,64196,Putih,Honda Scoopy,JFB1OQJ4F2,2021,11 Juli 2025,124000,0,81840,0,35000,0,0,100000,60000
AG 3292 XQ,44136,Abu-Abu,Kawasaki Ninja 250,EX250UVWL47,2012,24 Agustus 2025,175000,0,115500,0,83000,0,0,100000,60000
AE 5936 TGX,67741,Orange,Honda PCX 160,KF30C2IBJV,2010,27 Oktober 2024,225000,0,148500,0,83000,0,0,100000,60000
M 2395 IJR,70638,Hitam,Kawasaki KLX 150,KLX150T7B7UY,2021,20 Desember 2025,135000,0,89100,0,83000,0,0,100000,60000
S 8667 DE,73721,Kuning,Yamaha R15,B74C2GLXV,2017,30 Januari 2026,124000,0,81840,0,83000,0,0,100000,60000
S 6881 WIJ,56172,Orange,Honda Scoopy,JFB1CRHO7A,2016,3 Mei 2024,150000,0,99000,0,83000,0,0,100000,60000
M 8062 CJ,57127,Merah,Honda Vario 125,JFH1N8B8ZU,2020,18 Agustus 2024,225000,0,148500,0,35000,0,0,100000,60000
M 4656 UB,47506,Kuning,Yamaha Aerox 155,B3WZ91KMG,2012,10 Desember 2023,95000,0,62700,0,83000,0,0,100000,60000
L 5832 OG,64746,Hitam,Yamaha NMAX 155,SED3WLF0LL,2010,10 Desember 2024,95000,0,62700,0,35000,0,0,100000,60000
W 5973 SDW,20204,Silver,Honda CB150R,CB150RIB0TA6,2020,27 April 2024,135000,0,89100,0,35000,0,0,100000,60000
M 6421 OZ,71906,Orange,Suzuki Satria F150,SF150ZHP6PN,2017,17 Desember 2025,135000,0,89100,0,35000,0,0,100000,60000
S 4380 GH,29342,Abu-Abu,Kawasaki Ninja 250,EX250AYK2LA,2021,5 Oktober 2025,95000,0,62700,0,83000,0,0,100000,60000
P 5904 PK,65521,Hijau,Honda Beat,JFW1LAV3W9,2011,21 Desember 2025,124000,0,81840,0,35000,0,0,100000,60000
AG 3661 JSS,17505,Silver,Yamaha NMAX 155,SED39XWI70,2017,21 Januari 2025,110000,0,72600,0,83000,0,0,100000,60000
S 6965 UC,97836,Kuning,Honda Revo 110,HB5QZTGBC,2014,31 Mei 2025,250000,0,165000,0,35000,0,0,100000,60000
S 1325 XJX,85751,Biru,Suzuki Satria F150,SF150C543EV,2015,22 November 2025,150000,0,99000,0,83000,0,0,100000,60000
AG 3966 IU,54459,Silver,Honda Scoopy,JFB1DGQVTA,2022,7 November 2024,200000,0,132000,0,83000,0,0,100000,60000
N 8244 IWC,90583,Merah,Kawasaki Ninja 250,EX2506B15X8,2011,6 Februari 2026,124000,0,81840,0,35000,0,0,100000,60000
P 9547 BXF,46066,Biru,Yamaha Aerox 155,B3WA9RODE,2021,9 April 2026,250000,0,165000,0,83000,0,0,100000,60000
N 8643 QY,69982,Orange,Kawasaki KLX 150,KLX15005Y5FN,2023,24 Agustus 2025,225000,0,148500,0,83000,0,0,100000,60000
W 9947 UZM,60956,Silver,Kawasaki KLX 150,KLX150IVW947,2022,12 September 2024,150000,0,99000,0,83000,0,0,100000,60000
AE 6074 CZL,58716,Hijau,Yamaha Vixion R,B4WKI139D,2010,2 Maret 2026,135000,0,89100,0,35000,0,0,100000,60000
AG 9444 XN,96874,Hijau,Suzuki Satria F150,SF150N4Q17R,2020,27 Februari 2026,225000,0,148500,0,35000,0,0,100000,60000
P 8814 ZFH,08604,Biru,Honda PCX 160,KF3034QN5Y,2015,7 Oktober 2025,85000,0,56100,0,35000,0,0,100000,60000
M 9320 KE,17522,Merah,Yamaha NMAX 155,SED3OVM8L1,2013,2 Maret 2024,110000,0,72600,0,83000,0,0,100000,60000
AG 4204 LI,63161,Abu-Abu,Honda Vario 125,JFH1G8IRCP,2024,7 Januari 2024,250000,0,165000,0,35000,0,0,100000,60000
AG 6143 ILZ,91012,Hijau,Yamaha NMAX 155,SED3PL72U2,2011,26 Januari 2026,110000,0,72600,0,35000,0,0,100000,60000
S 2527 MT,78344,Abu-Abu,Honda CB150R,CB150RGF9XXW,2016,2 Oktober 2024,135000,0,89100,0,83000,0,0,100000,60000
AG 5068 YJ,39509,Silver,Yamaha NMAX 155,SED3ZPRRT2,2024,23 Februari 2026,124000,0,81840,0,35000,0,0,100000,60000
N 8997 WES,06401,Hitam,Yamaha Aerox 155,B3WONX3F8,2012,5 November 2025,110000,0,72600,0,35000,0,0,100000,60000
L 8276 YRK,46494,Silver,Honda Scoopy,JFB18YGCVH,2019,6 Januari 2024,200000,0,132000,0,83000,0,0,100000,60000
M 3680 JS,51262,Abu-Abu,Honda Scoopy,JFB10F72VE,2013,29 Desember 2023,200000,0,132000,0,35000,0,0,100000,60000
N 3839 BBO,85642,Kuning,Kawasaki Ninja 250,EX2502LWL0T,2022,22 Mei 2024,225000,0,148500,0,35000,0,0,100000,60000
L 7557 DS,56799,Orange,Honda Revo 110,HB5PUBKOP,2019,30 Oktober 2024,110000,0,72600,0,83000,0,0,100000,60000
M 7690 VK,60482,Orange,Honda CB150R,CB150RZJ3MNH,2017,14 November 2025,135000,0,89100,0,83000,0,0,100000,60000
M 9969 AAS,64448,Silver,Suzuki Satria F150,SF150D6SV8F,2012,15 Januari 2025,225000,0,148500,0,35000,0,0,100000,60000
N 9399 XR,06310,Hijau,Yamaha Vixion R,B4WHRX7BN,2018,14 Mei 2025,85000,0,56100,0,35000,0,0,100000,60000
W 7576 HMW,86151,Abu-Abu,Honda PCX 160,KF30519EYI,2020,5 November 2025,135000,0,89100,0,35000,0,0,100000,60000
P 1295 OC,66550,Abu-Abu,Honda PCX 160,KF30QY2YR6,2012,13 Januari 2024,200000,0,132000,0,83000,0,0,100000,60000
W 1898 VBF,45343,Hitam,Honda CB150R,CB150RXKCB9D,2010,26 Oktober 2025,200000,0,132000,0,35000,0,0,100000,60000
W 9132 AEJ,16517,Kuning,Yamaha Aerox 155,B3WZWBAYW,2015,3 September 2025,250000,0,165000,0,83000,0,0,100000,60000
AE 8548 QWK,57438,Merah,Honda Revo 110,HB5MNYW0Y,2010,17 September 2024,95000,0,62700,0,83000,0,0,100000,60000
AE 2851 UFH,97808,Hijau,Yamaha NMAX 155,SED3I79152,2021,13 Juli 2025,250000,0,165000,0,83000,0,0,100000,60000
P 9742 TX,70537,Orange,Kawasaki Ninja 250,EX250KX2SWO,2011,10 September 2024,135000,0,89100,0,35000,0,0,100000,60000
L 4464 NET,64206,Putih,Suzuki Satria F150,SF150HJ1L90,2011,1 April 2024,95000,0,62700,0,35000,0,0,100000,60000
AG 2160 KLN,59321,Biru,Yamaha Aerox 155,B3WMUEXBX,2020,10 September 2024,225000,0,148500,0,35000,0,0,100000,60000
L 3559 RK,16961,Kuning,Yamaha Vixion R,B4W4K33S5,2024,21 Februari 2026,225000,0,148500,0,35000,0,0,100000,60000
N 2052 MRP,54325,Merah,Kawasaki Ninja 250,EX2508RTJR2,2011,28 Agustus 2024,175000,0,115500,0,35000,0,0,100000,60000
M 4000 IBH,86848,Kuning,Suzuki Satria F150,SF150WSXQ9S,2015,29 September 2024,135000,0,89100,0,83000,0,0,100000,60000
AE 8404 ZGA,99199,Kuning,Yamaha NMAX 155,SED3O6ALVG,2015,13 Oktober 2025,95000,0,62700,0,35000,0,0,100000,60000
AE 7174 NA,12922,Hijau,Yamaha Aerox 155,B3WP2ME59,2018,5 Maret 2026,175000,0,115500,0,35000,0,0,100000,60000
N 4932 ZV,04658,Hitam,Yamaha Aerox 155,B3WDBZQ7I,2013,9 April 2026,200000,0,132000,0,35000,0,0,100000,60000
M 2104 QEH,83108,Kuning,Honda CB150R,CB150RWHZR4U,2018,18 Januari 2026,85000,0,56100,0,83000,0,0,100000,60000
P 2270 SHQ,55333,Merah,Yamaha R15,B74C7F4YG,2011,27 Mei 2024,225000,0,148500,0,83000,0,0,100000,60000
P 1679 VPK,96715,Biru,Honda Revo 110,HB5949QBF,2011,19 Oktober 2025,124000,0,81840,0,35000,0,0,100000,60000
M 2493 FE,08959,Abu-Abu,Honda CB150R,CB150R270TE8,2012,30 Maret 2025,110000,0,72600,0,83000,0,0,100000,60000
P 1476 DN,94229,Abu-Abu,Honda Beat,JFW1OXIHWM,2017,8 Agustus 2024,150000,0,99000,0,83000,0,0,100000,60000
N 4160 WW,46703,Merah,Yamaha Vixion R,B4WTZQCEQ,2012,19 Juni 2025,150000,0,99000,0,83000,0,0,100000,60000
L 6114 UB,71324,Putih,Yamaha Aerox 155,B3W9269XK,2016,5 April 2025,225000,0,148500,0,35000,0,0,100000,60000
AG 7903 KQG,37830,Merah,Yamaha Mio M3,F3GS7JYRI,2021,3 Juni 2024,250000,0,165000,0,35000,0,0,100000,60000
N 5643 JMR,06416,Hitam,Yamaha Mio M3,F3G7UV48P,2017,29 Januari 2025,85000,0,56100,0,83000,0,0,100000,60000
S 1969 DS,29501,Hitam,Kawasaki KLX 150,KLX150D1FIMT,2015,30 Mei 2026,225000,0,148500,0,35000,0,0,100000,60000
L 9861 YJ,24814,Hijau,Honda Beat,JFW1EXRSQ9,2015,17 Agustus 2025,175000,0,115500,0,83000,0,0,100000,60000
M 5846 YII,59038,Abu-Abu,Yamaha Aerox 155,B3WYNUWPK,2024,11 April 2026,135000,0,89100,0,35000,0,0,100000,60000
S 6652 RD,88199,Merah,Honda Revo 110,HB51CXDCW,2011,5 Oktober 2024,150000,0,99000,0,83000,0,0,100000,60000
AE 5847 DUB,81678,Abu-Abu,Kawasaki Ninja 250,EX250HS1F8G,2020,30 April 2026,124000,0,81840,0,35000,0,0,100000,60000
W 3761 WHT,12726,Merah,Honda Beat,JFW1UD2DTB,2015,6 April 2025,250000,0,165000,0,83000,0,0,100000,60000
L 1440 YMX,08693,Silver,Suzuki Satria F150,SF150ATV82H,2021,20 Desember 2025,124000,0,81840,0,83000,0,0,100000,60000
AG 8749 FP,64145,Merah,Honda Scoopy,JFB1GI3EEA,2019,1 Maret 2024,124000,0,81840,0,35000,0,0,100000,60000
S 1646 HW,51565,Putih,Honda Scoopy,JFB1UYKMG3,2020,15 Juli 2025,250000,0,165000,0,35000,0,0,100000,60000
N 2148 EK,58241,Putih,Suzuki Satria F150,SF1505WR99Z,2024,12 April 2025,95000,0,62700,0,35000,0,0,100000,60000
S 9976 QX,74080,Silver,Yamaha Aerox 155,B3WZ2A5I8,2019,14 Desember 2024,175000,0,115500,0,35000,0,0,100000,60000
M 2255 XMK,07471,Biru,Kawasaki Ninja 250,EX250FCN0EA,2020,26 April 2025,225000,0,148500,0,35000,0,0,100000,60000
W 1898 URL,80186,Hijau,Yamaha NMAX 155,SED3COQAVK,2016,5 November 2025,250000,0,165000,0,35000,0,0,100000,60000
N 5060 RB,47387,Silver,Kawasaki KLX 150,KLX1505CXUHG,2013,16 April 2026,85000,0,56100,0,83000,0,0,100000,60000
AG 9757 HWO,51814,Merah,Honda Beat,JFW14RF4LT,2020,20 Desember 2024,225000,0,148500,0,83000,0,0,100000,60000
AE 6833 ZCQ,15402,Orange,Yamaha R15,B74SF1PT6,2021,17 April 2025,124000,0,81840,0,83000,0,0,100000,60000
S 3381 NA,64454,Putih,Yamaha Mio M3,F3GS07JOR,2012,12 Januari 2024,175000,0,115500,0,35000,0,0,100000,60000
W 8493 IEL,31335,Silver,Honda PCX 160,KF300J2NGE,2021,10 Juli 2024,175000,0,115500,0,35000,0,0,100000,60000
W 7784 DHX,88051,Merah,Honda Beat,JFW12MZJ86,2021,14 Januari 2025,225000,0,148500,0,35000,0,0,100000,60000
P 9299 YYZ,94020,Abu-Abu,Yamaha R15,B745YWL94,2020,27 Januari 2025,175000,0,115500,0,35000,0,0,100000,60000
L 4782 WC,96141,Kuning,Yamaha Aerox 155,B3W8NV6YY,2021,15 Mei 2026,124000,0,81840,0,83000,0,0,100000,60000
S 9766 RWY,36495,Orange,Yamaha Mio M3,F3GBZUO7M,2011,13 Februari 2024,124000,0,81840,0,83000,0,0,100000,60000
AE 1315 HN,22898,Abu-Abu,Honda Vario 125,JFH1AP37LX,2024,29 November 2025,95000,0,62700,0,83000,0,0,100000,60000
N 6822 HTL,31076,Putih,Yamaha Freego,B7K4EMS8E,2020,5 Maret 2025,124000,0,81840,0,83000,0,0,100000,60000
AE 8552 SIE,31422,Hitam,Honda Revo 110,HB5P6SRD8,2010,5 Maret 2024,200000,0,132000,0,35000,0,0,100000,60000
M 2694 RQ,63407,Silver,Honda Vario 125,JFH14527KK,2012,4 September 2025,124000,0,81840,0,83000,0,0,100000,60000
AG 3453 QM,68786,Kuning,Honda PCX 160,KF30XBE5NW,2011,30 Maret 2026,95000,0,62700,0,83000,0,0,100000,60000
N 2060 YRN,50707,Putih,Honda PCX 160,KF30EOC7JN,2011,22 Juli 2025,225000,0,148500,0,35000,0,0,100000,60000
L 8495 UET,84986,Kuning,Yamaha Vixion R,B4W8GRZRK,2017,8 Desember 2023,85000,0,56100,0,83000,0,0,100000,60000
W 3408 GIC,06785,Hijau,Honda Revo 110,HB51OUVWX,2021,23 Desember 2023,110000,0,72600,0,83000,0,0,100000,60000
AG 4330 VQ,30376,Hitam,Honda CB150R,CB150R91AAY0,2023,17 Januari 2026,250000,0,165000,0,35000,0,0,100000,60000
M 1764 MU,55797,Hitam,Suzuki Satria F150,SF15017IB22,2019,1 Juni 2026,225000,0,148500,0,35000,0,0,100000,60000
AE 9267 PRR,43446,Abu-Abu,Suzuki Satria F150,SF150M42YJM,2017,18 April 2024,175000,0,115500,0,83000,0,0,100000,60000
P 6905 CPE,19243,Hijau,Honda Vario 125,JFH1GMEFG9,2019,22 Juli 2024,85000,0,56100,0,35000,0,0,100000,60000
N 7372 IYJ,42670,Hijau,Kawasaki Ninja 250,EX250131BNM,2018,19 November 2024,110000,0,72600,0,35000,0,0,100000,60000
AE 8618 TJD,72759,Biru,Honda Vario 125,JFH1ZM4H01,2013,21 April 2024,200000,0,132000,0,83000,0,0,100000,60000
S 4556 DNJ,47721,Biru,Yamaha Aerox 155,B3WRGMUDI,2021,30 Maret 2025,85000,0,56100,0,35000,0,0,100000,60000
AE 3335 GX,24218,Hijau,Yamaha NMAX 155,SED3YWT3HK,2020,26 Januari 2026,95000,0,62700,0,35000,0,0,100000,60000
AG 8976 HF,15767,Hijau,Honda PCX 160,KF30RPXT6X,2014,16 Desember 2024,150000,0,99000,0,83000,0,0,100000,60000
AE 3360 JR,52612,Hijau,Yamaha Vixion R,B4WHF3H88,2018,29 Mei 2025,150000,0,99000,0,35000,0,0,100000,60000
AE 3175 QO,24949,Hijau,Yamaha NMAX 155,SED3YCNIDS,2015,28 Februari 2026,150000,0,99000,0,35000,0,0,100000,60000
L 3093 ALW,75674,Orange,Kawasaki Ninja 250,EX250IKPDKU,2016,12 Agustus 2024,110000,0,72600,0,83000,0,0,100000,60000
W 1015 NE,14113,Silver,Suzuki GSX-R150,GX150IYKU9I,2019,12 November 2024,250000,0,165000,0,83000,0,0,100000,60000
L 4294 ITK,46300,Kuning,Kawasaki KLX 150,KLX150HB0DX0,2013,27 Desember 2024,175000,0,115500,0,35000,0,0,100000,60000
N 6749 RLS,81725,Putih,Yamaha Mio M3,F3GUVCYAD,2010,12 Agustus 2025,85000,0,56100,0,83000,0,0,100000,60000
P 7493 TF,81394,Hijau,Yamaha NMAX 155,SED3XSWWKR,2022,1 Februari 2024,250000,0,165000,0,35000,0,0,100000,60000
S 9120 XH,97665,Silver,Honda Beat,JFW1K13ZP8,2014,22 April 2025,124000,0,81840,0,35000,0,0,100000,60000
M 9996 TU,93556,Kuning,Suzuki GSX-R150,GX150P7DGT6,2017,5 Maret 2024,250000,0,165000,0,35000,0,0,100000,60000
M 5480 VJ,64320,Hijau,Honda Revo 110,HB50CISUV,2014,9 Januari 2025,250000,0,165000,0,35000,0,0,100000,60000
AE 4642 UGG,43911,Abu-Abu,Yamaha Freego,B7KN3SCSB,2023,16 Oktober 2024,175000,0,115500,0,83000,0,0,100000,60000
P 7998 XP,04224,Biru,Honda PCX 160,KF30X5PGEM,2021,14 Juli 2025,175000,0,115500,0,83000,0,0,100000,60000
AG 7697 QX,07336,Biru,Yamaha NMAX 155,SED3HETZXA,2018,20 Oktober 2024,150000,0,99000,0,35000,0,0,100000,60000
L 3741 UMU,09808,Putih,Yamaha Freego,B7K4DT6UN,2019,1 Oktober 2024,250000,0,165000,0,35000,0,0,100000,60000
S 7572 AJD,08829,Hitam,Suzuki Satria F150,SF150TCPXCA,2020,17 Oktober 2024,250000,0,165000,0,35000,0,0,100000,60000
S 3669 AXS,60928,Silver,Honda Scoopy,JFB11KM8B5,2010,15 Oktober 2025,85000,0,56100,0,35000,0,0,100000,60000
M 2196 MNJ,14531,Hijau,Honda Revo 110,HB5620ZX7,2019,2 April 2026,150000,0,99000,0,35000,0,0,100000,60000
P 6210 RED,48001,Biru,Honda CB150R,CB150R5Z25WV,2013,2 Februari 2024,110000,0,72600,0,83000,0,0,100000,60000
AG 9322 PXB,72783,Hijau,Suzuki Satria F150,SF150TYZ934,2020,23 Maret 2024,250000,0,165000,0,83000,0,0,100000,60000
L 5721 AEB,78701,Hijau,Yamaha Mio M3,F3G1761J0,2023,16 Januari 2024,225000,0,148500,0,35000,0,0,100000,60000
M 2674 AUV,25253,Hijau,Suzuki GSX-R150,GX150AY4L6S,2023,16 April 2024,200000,0,132000,0,83000,0,0,100000,60000
AG 7526 PFQ,58502,Kuning,Yamaha Mio M3,F3GCFWAWQ,2024,17 Februari 2025,110000,0,72600,0,83000,0,0,100000,60000
S 9743 LTP,88109,Hijau,Yamaha R15,B74RSWE9Y,2024,18 Mei 2025,150000,0,99000,0,35000,0,0,100000,60000
N 7347 PL,31317,Orange,Suzuki GSX-R150,GX150P1LSJ7,2019,10 September 2025,175000,0,115500,0,83000,0,0,100000,60000
L 3046 JEM,46003,Biru,Kawasaki KLX 150,KLX1508HZFFG,2015,7 Mei 2024,150000,0,99000,0,83000,0,0,100000,60000
L 1011 TNQ,68419,Putih,Honda Vario 125,JFH1MFW66L,2013,9 Desember 2025,95000,0,62700,0,83000,0,0,100000,60000
AG 7778 IY,62117,Biru,Honda PCX 160,KF30ADF5JJ,2021,24 Maret 2024,135000,0,89100,0,35000,0,0,100000,60000
